Label,Key,Name
0,Unknown,
1,Left-Cerebral-Exterior,
2,Left-Cerebral-White-Matter,
3,Left-Cerebral-Cortex,
4,Left-Lateral-Ventricle,
5,Left-Inf-Lat-Vent,
6,Left-Cerebellum-Exterior,
7,Left-Cerebellum-White-Matter,
8,Left-Cerebellum-Cortex,
9,Left-Thalamus,
10,Left-Thalamus-Proper,
11,Left-Caudate,
12,Left-Putamen,
13,Left-Pallidum,
14,3rd-Ventricle,
15,4th-Ventricle,
16,Brain-Stem,
17,Left-Hippocampus,
18,Left-Amygdala,
19,Left-Insula,
20,Left-Operculum,
21,Line-1,
22,Line-2,
23,Line-3,
24,CSF,
25,Left-Lesion,
26,Left-Accumbens-area,
27,Left-Substancia-Nigra,
28,Left-VentralDC,
29,Left-undetermined,
30,Left-vessel,
31,Left-choroid-plexus,
32,Left-F3orb,
33,Left-lOg,
34,Left-aOg,
35,Left-mOg,
36,Left-pOg,
37,Left-Stellate,
38,Left-Porg,
39,Left-Aorg,
40,Right-Cerebral-Exterior,
41,Right-Cerebral-White-Matter,
42,Right-Cerebral-Cortex,
43,Right-Lateral-Ventricle,
44,Right-Inf-Lat-Vent,
45,Right-Cerebellum-Exterior,
46,Right-Cerebellum-White-Matter,
47,Right-Cerebellum-Cortex,
48,Right-Thalamus,
49,Right-Thalamus-Proper,
50,Right-Caudate,
51,Right-Putamen,
52,Right-Pallidum,
53,Right-Hippocampus,
54,Right-Amygdala,
55,Right-Insula,
56,Right-Operculum,
57,Right-Lesion,
58,Right-Accumbens-area,
59,Right-Substancia-Nigra,
60,Right-VentralDC,
61,Right-undetermined,
62,Right-vessel,
63,Right-choroid-plexus,
64,Right-F3orb,
65,Right-lOg,
66,Right-aOg,
67,Right-mOg,
68,Right-pOg,
69,Right-Stellate,
70,Right-Porg,
71,Right-Aorg,
72,5th-Ventricle,
73,Left-Interior,
74,Right-Interior,
77,WM-hypointensities,
78,Left-WM-hypointensities,
79,Right-WM-hypointensities,
80,non-WM-hypointensities,
81,Left-non-WM-hypointensities,
82,Right-non-WM-hypointensities,
83,Left-F1,
84,Right-F1,
85,Optic-Chiasm,
192,Corpus_Callosum,
251,CC_Posterior,
252,CC_Mid_Posterior,
253,CC_Central,
254,CC_Mid_Anterior,
255,CC_Anterior,
1000,lh-unknown,
1001,lh-bankssts,
1002,lh-caudalanteriorcingulate,
1003,lh-caudalmiddlefrontal,
1004,lh-corpuscallosum,
1005,lh-cuneus,
1006,lh-entorhinal,
1007,lh-fusiform,
1008,lh-inferiorparietal,
1009,lh-inferiortemporal,
1010,lh-isthmuscingulate,
1011,lh-lateraloccipital,
1012,lh-lateralorbitofrontal,
1013,lh-lingual,
1014,lh-medialorbitofrontal,
1015,lh-middletemporal,
1016,lh-parahippocampal,
1017,lh-paracentral,
1018,lh-parsopercularis,
1019,lh-parsorbitalis,
1020,lh-parstriangularis,
1021,lh-pericalcarine,
1022,lh-postcentral,
1023,lh-posteriorcingulate,
1024,lh-precentral,
1025,lh-precuneus,
1026,lh-rostralanteriorcingulate,
1027,lh-rostralmiddlefrontal,
1028,lh-superiorfrontal,
1029,lh-superiorparietal,
1030,lh-superiortemporal,
1031,lh-supramarginal,
1032,lh-frontalpole,
1033,lh-temporalpole,
1034,lh-transversetemporal,
1035,lh-insula,
2000,rh-unknown,
2001,rh-bankssts,
2002,rh-caudalanteriorcingulate,
2003,rh-caudalmiddlefrontal,
2004,rh-corpuscallosum,
2005,rh-cuneus,
2006,rh-entorhinal,
2007,rh-fusiform,
2008,rh-inferiorparietal,
2009,rh-inferiortemporal,
